iter	Passed	Remaining
0	1	139
1	2	125
2	3	119
3	4	112
4	5	112
5	6	109
6	8	107
7	9	106
8	10	104
9	11	102
10	12	101
11	13	99
12	14	98
13	15	97
14	17	96
15	18	95
16	19	93
17	20	92
18	21	90
19	22	89
20	23	88
21	24	87
22	25	85
23	26	84
24	27	83
25	28	82
26	30	81
27	31	80
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	39	71
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	59	48
55	60	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
