iter	Passed	Remaining
0	52	52164
1	52	26277
2	54	17964
3	54	13619
4	55	10970
5	55	9202
6	55	7934
7	56	6987
8	57	6280
9	57	5691
10	57	5211
11	58	4804
12	58	4459
13	59	4165
14	59	3908
15	59	3683
16	60	3485
17	60	3309
18	61	3152
19	61	3010
20	61	2882
21	62	2767
22	62	2665
23	63	2568
24	63	2480
25	63	2397
26	64	2321
27	64	2249
28	65	2182
29	65	2119
30	66	2071
31	66	2017
32	67	1966
33	67	1917
34	67	1872
35	68	1831
36	68	1791
37	69	1752
38	69	1718
39	70	1682
40	70	1648
41	70	1616
42	71	1585
43	71	1556
44	71	1527
45	72	1500
46	72	1474
47	73	1450
48	73	1427
49	73	1405
50	74	1385
51	74	1365
52	75	1346
53	75	1326
54	76	1307
55	76	1289
56	76	1272
57	77	1255
58	77	1239
59	78	1224
60	78	1209
61	78	1194
62	79	1180
63	79	1166
64	80	1153
65	80	1139
66	80	1126
67	81	1114
68	81	1101
69	82	1089
70	82	1078
71	82	1067
72	83	1056
73	83	1046
74	84	1037
75	84	1027
76	84	1018
77	85	1008
78	85	1001
79	86	992
80	86	984
81	87	975
82	87	964
83	87	957
84	88	949
85	88	941
86	88	933
87	89	926
88	89	920
89	90	913
90	90	906
91	91	899
92	91	892
93	91	885
94	92	878
95	92	872
96	93	865
97	93	859
98	93	853
99	94	847
100	94	840
101	94	835
102	95	830
103	95	825
104	96	819
105	96	815
106	97	809
107	97	805
108	97	800
109	98	796
110	98	791
111	99	786
112	99	780
113	99	776
114	100	771
115	100	766
116	100	761
117	101	757
118	101	752
119	102	748
120	102	744
121	102	739
122	103	734
123	103	730
124	104	729
125	104	725
126	104	721
127	105	717
128	105	713
129	106	710
130	106	706
131	106	702
132	107	699
133	107	695
134	109	700
135	109	697
136	110	695
137	110	692
138	111	689
139	111	686
140	112	683
141	112	679
142	113	677
143	113	674
144	113	671
145	114	668
146	114	666
147	115	663
148	115	659
149	115	656
150	116	654
151	116	651
152	117	648
153	117	646
154	118	644
155	118	642
156	119	639
157	119	637
158	120	634
159	120	632
160	120	628
161	121	626
162	121	623
163	121	620
164	122	618
165	122	615
166	122	613
167	123	611
168	123	608
169	124	606
170	124	604
171	125	601
172	125	600
173	126	598
174	126	596
175	126	594
176	127	592
177	127	590
178	128	588
179	128	585
180	128	583
181	129	581
182	129	579
183	130	577
184	130	575
185	130	572
186	131	570
187	131	568
188	132	566
189	132	564
190	132	562
191	133	560
192	133	559
193	134	557
194	134	555
195	135	554
196	135	552
197	135	550
198	136	548
199	136	547
200	137	545
201	137	543
202	137	541
203	138	539
204	138	538
205	139	536
206	139	534
207	139	532
208	140	531
209	140	529
210	141	528
211	141	526
212	142	524
213	142	523
214	143	522
215	143	520
216	143	519
217	144	517
218	144	516
219	145	514
220	145	512
221	145	511
222	146	509
223	146	508
224	147	506
225	147	505
226	148	504
227	148	503
228	149	502
229	149	500
230	149	499
231	150	497
232	150	496
233	151	494
234	151	493
235	151	491
236	152	490
237	152	488
238	153	487
239	153	485
240	153	484
241	154	482
242	154	481
243	154	480
244	155	479
245	155	478
246	156	476
247	156	475
248	157	474
249	157	473
250	158	471
251	158	470
252	158	469
253	159	467
254	159	466
255	159	464
256	160	464
257	160	462
258	161	461
259	161	460
260	162	459
261	162	458
262	163	456
263	163	455
264	163	454
265	164	453
266	164	451
267	165	450
268	165	449
269	165	448
270	166	446
271	166	445
272	166	444
273	167	443
274	167	442
275	168	441
276	168	440
277	169	439
278	169	438
279	170	437
280	170	436
281	170	435
282	171	434
283	171	433
284	172	432
285	172	431
286	173	430
287	173	429
288	174	428
289	174	426
290	174	425
291	175	424
292	175	423
293	176	422
294	176	422
295	177	421
296	177	420
297	178	419
298	178	418
299	178	417
300	179	416
301	179	415
302	180	414
303	180	412
304	180	411
305	181	410
306	181	409
307	181	408
308	182	407
309	182	407
310	183	406
311	183	405
312	184	404
313	184	403
314	184	402
315	185	401
316	185	399
317	186	398
318	186	398
319	186	397
320	187	396
321	187	395
322	188	394
323	188	393
324	188	392
325	189	391
326	189	390
327	190	390
328	190	389
329	191	388
330	191	387
331	191	386
332	192	385
333	192	384
334	193	383
335	193	382
336	194	381
337	194	380
338	194	379
339	195	378
340	195	377
341	195	377
342	196	376
343	196	375
344	197	374
345	197	373
346	198	372
347	198	371
348	198	370
349	199	370
350	199	369
351	199	368
352	200	367
353	200	366
354	201	365
355	201	364
356	201	363
357	202	363
358	202	362
359	203	361
360	203	360
361	204	359
362	204	359
363	204	358
364	205	357
365	205	356
366	206	355
367	206	355
368	207	354
369	207	353
370	207	352
371	208	351
372	208	350
373	209	349
374	209	349
375	209	348
376	210	347
377	210	346
378	211	346
379	211	345
380	212	344
381	212	343
382	212	342
383	213	342
384	213	341
385	214	340
386	214	339
387	214	338
388	215	338
389	215	337
390	216	336
391	216	335
392	216	335
393	217	334
394	217	333
395	218	332
396	218	332
397	219	331
398	219	330
399	219	329
400	220	328
401	220	328
402	221	327
403	221	326
404	221	325
405	222	325
406	222	324
407	223	323
408	223	322
409	223	322
410	224	321
411	224	320
412	225	320
413	225	319
414	226	318
415	226	317
416	226	317
417	227	316
418	227	315
419	228	315
420	228	314
421	229	314
422	230	314
423	231	314
424	232	314
425	233	313
426	233	313
427	234	312
428	234	312
429	235	311
430	237	313
431	239	315
432	240	314
433	240	313
434	247	322
435	248	321
436	248	320
437	249	320
438	249	319
439	250	318
440	250	317
441	254	321
442	261	328
443	262	328
444	262	327
445	263	327
446	263	326
447	264	326
448	265	325
449	265	324
450	265	323
451	266	322
452	266	321
453	267	321
454	267	320
455	267	319
456	268	318
457	268	317
458	269	317
459	269	316
460	269	315
461	270	314
462	270	314
463	271	313
464	271	312
465	271	311
466	272	310
467	272	310
468	273	309
469	273	308
470	273	307
471	274	306
472	274	306
473	275	305
474	275	304
475	275	303
476	276	302
477	276	302
478	277	301
479	277	300
480	277	299
481	278	299
482	278	298
483	279	297
484	279	297
485	280	296
486	280	295
487	281	294
488	281	294
489	281	293
490	282	292
491	282	291
492	283	291
493	283	290
494	284	289
495	284	289
496	285	288
497	286	288
498	287	288
499	287	287
500	288	287
501	289	286
502	289	286
503	289	285
504	290	284
505	290	284
506	291	283
507	291	282
508	292	282
509	292	281
510	293	280
511	294	281
512	295	280
513	295	279
514	296	278
515	296	278
516	297	277
517	297	276
518	297	276
519	298	275
520	298	274
521	299	274
522	299	273
523	300	272
524	300	271
525	300	271
526	301	270
527	301	269
528	301	268
529	302	268
530	302	267
531	303	266
532	303	265
533	303	265
534	304	264
535	304	263
536	305	263
537	305	262
538	305	261
539	306	260
540	306	260
541	307	259
542	307	258
543	308	258
544	308	257
545	308	256
546	309	256
547	309	255
548	310	254
549	310	254
550	310	253
551	311	252
552	311	251
553	312	251
554	312	250
555	312	249
556	313	249
557	313	248
558	314	247
559	314	247
560	315	246
561	315	246
562	316	245
563	316	244
564	317	244
565	317	243
566	317	242
567	318	242
568	318	241
569	319	240
570	319	240
571	319	239
572	320	238
573	320	237
574	320	237
575	321	236
576	321	235
577	322	235
578	322	234
579	322	233
580	323	233
581	323	232
582	324	231
583	324	231
584	325	230
585	325	229
586	325	229
587	326	228
588	326	227
589	327	227
590	327	226
591	327	226
592	328	225
593	328	224
594	329	224
595	329	223
596	330	222
597	330	222
598	330	221
599	331	220
600	331	220
601	332	219
602	332	218
603	332	218
604	333	217
605	333	216
606	333	216
607	334	215
608	334	214
609	335	214
610	335	213
611	335	212
612	336	212
613	336	211
614	336	210
615	337	210
616	337	209
617	338	208
618	338	208
619	338	207
620	339	207
621	339	206
622	340	205
623	340	205
624	340	204
625	341	203
626	341	203
627	342	202
628	342	202
629	343	201
630	343	200
631	344	200
632	344	199
633	344	199
634	345	198
635	345	197
636	346	197
637	346	196
638	346	195
639	347	195
640	347	194
641	347	194
642	348	193
643	348	192
644	349	192
645	349	191
646	349	190
647	350	190
648	350	189
649	350	188
650	351	188
651	351	187
652	352	187
653	352	186
654	352	185
655	353	185
656	353	184
657	353	183
658	354	183
659	354	182
660	355	182
661	355	181
662	355	180
663	356	180
664	356	179
665	356	179
666	357	178
667	357	177
668	358	177
669	358	176
670	359	176
671	359	175
672	359	174
673	360	174
674	360	173
675	361	173
676	361	172
677	361	171
678	362	171
679	362	170
680	362	170
681	363	169
682	363	168
683	364	168
684	364	167
685	364	166
686	365	166
687	365	165
688	365	165
689	366	164
690	366	164
691	367	163
692	367	162
693	368	162
694	368	161
695	368	161
696	369	160
697	369	159
698	370	159
699	370	158
700	370	158
701	371	157
702	371	156
703	371	156
704	372	155
705	372	155
706	373	154
707	373	154
708	374	153
709	374	152
710	374	152
711	375	151
712	375	151
713	376	150
714	376	150
715	376	149
716	377	148
717	377	148
718	378	147
719	378	147
720	378	146
721	379	145
722	379	145
723	379	144
724	380	144
725	380	143
726	381	143
727	381	142
728	382	142
729	382	141
730	383	140
731	383	140
732	383	139
733	384	139
734	384	138
735	384	138
736	385	137
737	385	136
738	386	136
739	386	135
740	386	135
741	387	134
742	388	134
743	388	133
744	389	133
745	389	132
746	390	132
747	390	131
748	391	131
749	391	130
750	392	130
751	393	129
752	394	129
753	394	128
754	395	128
755	396	128
756	397	127
757	398	127
758	399	126
759	400	126
760	400	125
761	401	125
762	401	124
763	401	124
764	402	123
765	402	123
766	403	122
767	404	122
768	405	121
769	405	121
770	405	120
771	406	120
772	406	119
773	407	118
774	407	118
775	408	117
776	408	117
777	409	116
778	409	116
779	409	115
780	410	115
781	410	114
782	411	113
783	411	113
784	412	112
785	412	112
786	413	111
787	414	111
788	414	110
789	415	110
790	415	109
791	415	109
792	416	108
793	416	108
794	417	107
795	417	107
796	417	106
797	418	105
798	418	105
799	419	104
800	419	104
801	420	103
802	420	103
803	421	102
804	421	102
805	422	101
806	422	101
807	423	100
808	423	100
809	424	99
810	424	98
811	425	98
812	425	97
813	425	97
814	426	96
815	426	96
816	427	95
817	427	95
818	428	94
819	428	94
820	429	93
821	429	93
822	430	92
823	430	92
824	431	91
825	431	90
826	432	90
827	432	89
828	433	89
829	433	88
830	434	88
831	434	87
832	434	87
833	435	86
834	435	86
835	436	85
836	436	85
837	436	84
838	437	83
839	437	83
840	438	82
841	438	82
842	439	81
843	439	81
844	439	80
845	440	80
846	440	79
847	441	79
848	441	78
849	442	78
850	442	77
851	442	76
852	443	76
853	443	75
854	444	75
855	444	74
856	445	74
857	445	73
858	446	73
859	446	72
860	446	72
861	447	71
862	447	71
863	448	70
864	448	70
865	449	69
866	449	68
867	449	68
868	450	67
869	450	67
870	451	66
871	451	66
872	452	65
873	452	65
874	453	64
875	453	64
876	453	63
877	454	63
878	454	62
879	455	62
880	455	61
881	456	61
882	457	60
883	457	60
884	458	59
885	459	59
886	459	58
887	460	58
888	460	57
889	461	56
890	461	56
891	461	55
892	462	55
893	462	54
894	463	54
895	463	53
896	463	53
897	464	52
898	465	52
899	466	51
900	467	51
901	467	50
902	467	50
903	468	49
904	468	49
